ID,Name,Date_of_birth,Age,Gender,Race,Location,country,edu,No_Connection,Year_of_Exp,No_of_Job_changed,No_of_titles,Current_Title,Title_Level,Previous_Title1,Title_Level1,Previous_Title2,Title_Level2,Previous_Title3,Title_Level3,Previous_Title4,Title_Level4,Previous_Title5,Title_Level5,Current_Salary,Fortune500,SuccessScore
490,Johnette Kshlerin,8/27/60,57,Male,Hispanic,OH,USA,Associate,354,37,5,6,Senior Bioinformatician,4,Senior Web Developer,4,Programmer/Analyst,3,IT Analyst I,3,Developer / System Analyst,3,Programmer Analyst,3,197877,1,3625.846123
491,Keenan Senger,11/1/81,36,Male,Caucasian,MO,USA,Doctorate,443,3,1,1,Senior iOS Engineer,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133632,0,5740.923028
492,Bessie Rolfson,10/30/91,26,Female,Native American,CO,USA,Graduate,452,2,1,5,Sr Quality Engineer,4,Summer Intern,1,Developer Intern,1,Intern,1,Software Engineer Intern,1,NA,NA,205518,1,7948.970346
493,Antonette Brown,5/2/54,63,Male,African American,NE,USA,Doctorate,500,30,4,6,Senior Mobile Developer,4,Sr. NET Developer,4,Developer Intern,1,Web Development Intern,1,Student Worker,1,Business Analytics Intern,1,200037,1,3280.527444
494,Michael Erdman,5/13/94,23,Male,Asian,AK,USA,Associate,309,3,1,1,Developer Analyst,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26198,1,8985.792565
495,Noble Homenick,3/24/81,36,Female,Caucasian,FL,USA,Associate,328,16,3,4,Senior full stack developer,4,Senior User Experience Consultant,4,Business Analyst,3,Security Analyst,3,NA,NA,NA,NA,199497,0,5740.923028
496,Deon Pacocha,10/15/54,63,Male,Caucasian,NC,USA,Undergraduate,331,41,3,6,Senior Systems Analyst,4,Senior Team Lead,4,IT Analyst I,3,Application Development Analyst,3,Software analyst,3,Analyst programmer iii,3,196579,0,3280.527444
497,Collene Franecki,2/25/91,26,Female,African American,CT,USA,Undergraduate,370,4,1,1,Senior UX Designer,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204315,0,7948.970346
498,Marianne Kuhlman,12/13/73,43,Male,Caucasian,AZ,USA,Associate,389,23,1,5,Senior Telecommunications Specialist,4,Sr Principal Software Dev Engineer,4,Analyst (Technology),3,Business Analyst,3,Software Engineer / Team Lead,3,NA,NA,196024,0,4806.354163
499,Nickolas McDermott,11/17/73,43,Female,African American,NM,USA,Graduate,317,19,1,5,Senior Associate,4,Analyst,3,Data Science Intern,1,Summer Intern,1,Student Intern Co-op,1,NA,NA,282484,0,4806.354163
500,Magan Skiles,2/22/91,26,Female,Hispanic,NM,USA,Graduate,341,2,1,5,Senior Computer Engineer,4,Software Engineering Intern,1,Research Intern,1,Product Management Intern,1,Product Management Intern,1,NA,NA,188266,1,7948.970346
501,Winter Bernier,6/9/62,55,Male,Native American,CO,USA,Associate,449,35,12,5,IT Analyst,3,"Lead DevOps Engineer, Team Lead",3,System Analyst,3,System Analyst,3,Analyst,3,NA,NA,202624,0,3757.695073
502,Dottie Predovic,9/13/58,59,Male,African American,PA,USA,Associate,323,39,6,6,Sr MySQL DBA,4,Sr. QA Analyst,4,Product Development Business Analyst,3,Advisory Engineer,3,Application Analyst,3,Technology Business Analyst,3,122883,1,3502.936085
503,Romaine Feest,6/18/78,39,Female,Hispanic,WA,USA,Doctorate,407,6,2,1,Senior consultant,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223914,1,5299.313564
504,Joesph Lueilwitz,6/11/59,58,Male,Asian,ND,USA,Graduate,359,34,12,5,Sr. Ops Analyst,4,Senior Java Developer,4,Data Science Intern,1,Software Engineering Intern,1,Developer Intern,1,NA,NA,205854,0,3563.331534
505,Rashad Hilll,2/17/81,36,Female,Hispanic,MI,USA,Undergraduate,367,14,4,5,Senior UNIX administrator,4,Database Analyst,3,Dev Team leader,3,Team Lead,3,Developer Analyst,3,NA,NA,182062,1,5740.923028
506,Sheridan Renner,3/26/77,40,Female,Caucasian,SD,USA,Undergraduate,373,18,1,3,Senior Consulting Associate,4,Senior Performance Engineer II,4,Programmer Analyst,3,NA,NA,NA,NA,NA,NA,251641,0,5166.830725
507,Sherley Morar,8/1/64,53,Female,Native American,MS,USA,Undergraduate,492,31,11,5,Senior Sales Consultant,4,Senior Interactive Developer,4,"Lead DevOps Engineer, Team Lead",3,Database Analyst,3,Analyst (Technology),3,NA,NA,193000,1,3899.494887
508,Val Sawayn,5/18/59,58,Female,Native American,NY,USA,Doctorate,336,25,1,6,senior solution architect,4,Senior Editor,4,Business Analytics Intern,1,Software Engineer Intern,1,Student Intern Co-op,1,Summer Intern,1,235207,0,3563.331534
509,Mabel Hegmann,1/26/67,50,Male,Caucasian,KY,USA,Doctorate,310,17,5,3,Sr. Frontend Eng,4,Analyst (Technology),3,Product Management Intern,1,NA,NA,NA,NA,NA,NA,202286,1,4133.46458
510,Marine Hoppe,12/6/53,63,Male,Asian,LA,USA,Associate,478,43,11,5,Sr. Software Developer,4,Sr Principal Software Dev Engineer,4,UI team lead,3,Programmer/Analyst,3,Business systems analyst,3,NA,NA,180971,0,3280.527444
511,Freddy Stoltenberg,10/24/87,30,Female,Hispanic,MI,USA,Graduate,439,6,3,3,SR. Software Consultant,4,Senior Team Lead,4,Student Worker,1,NA,NA,NA,NA,NA,NA,181787,0,6889.107633
512,Terrell Greenholt,4/2/55,62,Male,Native American,KY,USA,Doctorate,327,29,12,4,Senior Software Engineer,4,Senior Product Designer,4,Data Science Intern,1,Product Management Intern,1,NA,NA,NA,NA,183237,1,3333.439177
513,Courtney Mueller,4/15/75,42,Male,African American,IN,USA,Undergraduate,480,20,1,4,Vice President,5,Developer / System Analyst,3,Programmer Analyst,3,Web analyst,3,NA,NA,NA,NA,286128,1,4920.791167
514,Pam Schmidt,1/4/88,29,Female,African American,MA,USA,Undergraduate,429,7,2,3,Senior Consultant (Salesforce.com developer),4,Security Analyst,3,Data Analyst,3,NA,NA,NA,NA,NA,NA,224916,1,7126.663069
515,Guadalupe Rice,7/27/73,44,Female,Native American,GA,USA,Associate,325,24,1,4,Senior Fullstack Developer,4,"Senior Designer, UX",4,Data Analyst,3,IT Analyst I,3,NA,NA,NA,NA,192636,1,4697.118841
516,Monroe Hoppe,10/4/57,60,Male,Caucasian,OK,USA,Graduate,326,36,3,5,Sr. Security Engineer,4,Senior Full Stack Developer,4,Software Engineer Intern,1,Internal Help Desk,1,Data Science Intern,1,NA,NA,188563,0,3444.553817
517,Roscoe Rosenbaum,11/3/54,63,Female,Asian,RI,USA,Graduate,410,39,8,6,"Sr. Manager, Application Security",4,Sr. Software Engineer Test,4,Business Analytics Intern,1,Student Worker,1,Developer Intern,1,Internal Help Desk,1,266591,1,3280.527444
518,Garland Wilderman,1/23/76,41,Male,Asian,CO,USA,Doctorate,403,8,2,1,CTO,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188795,1,5040.810463
519,Vanda Kshlerin,5/29/67,50,Male,Native American,MA,USA,Doctorate,445,17,4,4,Senior Editor,4,Senior iOS Engineer,4,Business Analytics Intern,1,Intern,1,NA,NA,NA,NA,223395,0,4133.46458
520,Neely Gerlach,9/1/80,37,Male,African American,FL,USA,Graduate,409,13,3,5,Senior Product Designer,4,Senior Javascript Engineer,4,Internal Help Desk,1,Summer Intern,1,Web Development Intern,1,NA,NA,292054,0,5585.762946
521,Vito Torphy,4/9/81,36,Female,African American,AL,USA,Graduate,340,12,4,3,Director of Growth Marketing,5,SOFTWARE ARCHITECT,4,Business Analytics Intern,1,NA,NA,NA,NA,NA,NA,206573,0,5740.923028
522,Gregg Rutherford,8/28/69,48,Male,Hispanic,KY,USA,Doctorate,368,15,3,4,Senior full stack developer,4,Senior full stack developer,4,Product Management Intern,1,Software Engineer Intern,1,NA,NA,NA,NA,180114,1,4305.692271
523,Rudolph Bauch,5/13/67,50,Male,Hispanic,CO,USA,Graduate,419,26,6,6,Senior System Engineer,4,Sr software architect,4,Software Engineer Intern,1,Business Analytics Intern,1,Internal Help Desk,1,Software Engineering Intern,1,200564,0,4133.46458
524,Calandra Sawayn,8/30/65,52,Male,Caucasian,FL,USA,Graduate,447,28,8,4,Sr Quality Engineer,4,Senior User Experience Consultant,4,Web Development Intern,1,Summer Intern,1,NA,NA,NA,NA,193884,1,3974.485173
525,Yelena Terry,11/13/55,61,Female,Asian,MN,USA,Doctorate,383,28,9,5,Senior Python developer,4,sr engagement associate,4,Information Systems Intern,1,Summer Intern,1,Data Science Intern,1,NA,NA,270450,0,3388.085721
526,Craig Witting,5/28/87,30,Male,Asian,CT,USA,Undergraduate,330,8,1,3,Senior Graphic Designer,4,Analyst programmer iii,3,Dev Team leader,3,NA,NA,NA,NA,NA,NA,185083,0,6889.107633
527,Anabel Champlin,10/11/78,39,Female,African American,NV,USA,Undergraduate,329,17,5,3,Senior Solutions Engineer,4,Senior Fullstack Developer,4,Application Analyst,3,NA,NA,NA,NA,NA,NA,257578,0,5299.313564
528,Deanne Maggio,3/28/88,29,Female,Hispanic,ID,USA,Graduate,499,5,2,2,Sr Consultant (software  engineer),4,Senior DevOps,4,NA,NA,NA,NA,NA,NA,NA,NA,184572,0,7126.663069
529,Kenton White,8/22/66,51,Male,Asian,AK,USA,Graduate,312,27,5,6,Director of operations,5,Senior developer,4,Internal Help Desk,1,Web Development Intern,1,Web Development Intern,1,Internal Help Desk,1,562644,0,4052.416255
530,Russell Lehner,12/21/76,40,Male,Caucasian,WI,USA,Undergraduate,422,18,4,3,sr engagement associate,4,Senior IOS Engineer,4,Database Analyst,3,NA,NA,NA,NA,NA,NA,186666,1,5166.830725
531,Darius Howe,1/3/91,26,Female,Asian,IL,USA,Graduate,307,2,1,4,Sr Principal Software Dev Engineer,4,Research Intern,1,Product Management Intern,1,Summer Intern,1,NA,NA,NA,NA,233959,1,7948.970346
532,Lamar Kutch,1/28/73,44,Female,African American,ND,USA,Graduate,334,20,1,5,Senior Full Stack Developer,4,Senior Java Dev,4,Data Science Intern,1,Business Analytics Intern,1,Software Engineering Intern,1,NA,NA,198793,1,4697.118841
533,Jesus Cormier,3/14/70,47,Female,African American,NC,USA,Undergraduate,378,25,1,4,Director of Business Development,5,data analyst,3,Programmer Analyst,3,IT Analyst,3,NA,NA,NA,NA,280254,0,4397.302745
534,Mariko Bradtke,6/27/91,26,Male,Asian,MN,USA,Undergraduate,445,4,1,2,Senior Team Lead,4,Data analyst,3,NA,NA,NA,NA,NA,NA,NA,NA,189171,0,7948.970346
535,Eloy Carroll,12/24/64,52,Female,African American,FL,USA,Associate,442,32,5,6,Senior Python Developer,4,Senior User Experience Consultant,4,Application Development Analyst,3,Second Line Support Analyst,3,data analyst,3,information technology analyst,3,184552,0,3974.485173
536,Burton Lowe,8/13/85,32,Male,African American,WV,USA,Undergraduate,444,10,2,3,Director of Data Analytics,5,Product Development Business Analyst,3,Dev Team leader,3,NA,NA,NA,NA,NA,NA,189312,0,6458.538406
537,Loretta Lebsack,6/14/73,44,Female,African American,IL,USA,Associate,362,24,1,5,Senior iOS Developer,4,Sr. Software Engineer,4,Online Marketing Analyst,3,Online Marketing Analyst,3,Database Analyst,3,NA,NA,241330,0,4697.118841
538,Rickey Christiansen,7/22/90,27,Male,Native American,AK,USA,Undergraduate,426,5,1,3,Developer Analyst,3,information technology analyst,3,Online Marketing Analyst,3,NA,NA,NA,NA,NA,NA,209512,0,7654.564037
539,Woodrow Oberbrunner,6/23/75,42,Male,African American,LA,USA,Undergraduate,414,20,1,3,Senior software Engineer,4,Senior - Risk Assurance,4,Dev Team leader,3,NA,NA,NA,NA,NA,NA,274525,1,4920.791167
540,Chrissy Klein,11/27/56,60,Female,Caucasian,DC,USA,Associate,366,40,4,5,Sr. Software Engineer II,4,Senior Editor,4,Devops team lead,3,Advisory Engineer,3,Dev Team leader,3,NA,NA,699842,1,3444.553817
541,Columbus Wisoky,10/22/81,36,Male,African American,NM,USA,Doctorate,407,3,1,3,Senior Gentoo Installation Specialist,4,Senior Solutions Engineer,4,Software Engineer Intern,1,NA,NA,NA,NA,NA,NA,205002,0,5740.923028
542,Loyd Marks,12/9/83,33,Female,Asian,OH,USA,Graduate,342,9,3,3,CEO,6,Director of Data Analytics,5,Software Engineering Intern,1,NA,NA,NA,NA,NA,NA,208058,0,6262.825121
543,Demetrius Medhurst,3/14/91,26,Female,Native American,DE,USA,Graduate,302,2,1,4,Director of DevOps,5,R&D Intern,1,Business Analytics Intern,1,Business Analytics Intern,1,NA,NA,NA,NA,199806,1,7948.970346
544,Stephenie Hegmann,4/28/78,39,Male,Caucasian,FL,USA,Associate,313,19,1,5,Business Analyst,3,System Analyst III,3,Programmer/Analyst,3,Second Line Support Analyst,3,IT Analyst I,3,NA,NA,190348,1,5299.313564
545,Ronald Jenkins,2/28/64,53,Male,Native American,ND,USA,Doctorate,447,20,1,3,Senior software developer,4,Senior DevOps Engineer,4,Web Development Intern,1,NA,NA,NA,NA,NA,NA,202718,0,3899.494887
546,Wanda Mitchell,3/2/64,53,Female,Hispanic,VA,USA,Undergraduate,432,31,5,5,Senior Product Designer,4,Senior IT Analyst,4,System Analyst III,3,data analyst,3,Dev Team leader,3,NA,NA,199893,0,3899.494887
547,Robyn Mayer,3/21/84,33,Male,Hispanic,WA,USA,Graduate,390,9,3,5,Senior Systems Analyst,4,Senior User Experience Consultant,4,R&D Intern,1,Developer Intern,1,Intern,1,NA,NA,242666,1,6262.825121
549,Ramona Krajcik,3/20/54,63,Female,Native American,ME,USA,Doctorate,389,30,8,4,Senior iOS Developer,4,Sr Staff Program Mgr,4,Internal Help Desk,1,Research Intern,1,NA,NA,NA,NA,189918,0,3280.527444
550,Normand Schaden,1/28/82,35,Female,Native American,SD,USA,Associate,352,15,3,4,Senior systems engineer,4,Senior Python developer,4,Advisory Engineer,3,Online Marketing Analyst,3,NA,NA,NA,NA,101083,0,5904.9494
551,Julian Mohr,7/24/59,58,Male,African American,SC,USA,Doctorate,475,25,1,6,Senior .Net Developer,4,Senior Software Egnineer,4,Software Engineering Intern,1,Intern,1,Summer Intern,1,Internal Help Desk,1,190627,1,3563.331534
552,Hortensia Auer,4/13/76,41,Female,Native American,GA,USA,Graduate,395,17,3,3,Sr Operations Engineer,4,Network Field Engineer Sr.,4,Student Intern Co-op,1,NA,NA,NA,NA,NA,NA,261838,0,5040.810463
553,Elwood Koelpin,10/10/75,42,Female,African American,KY,USA,Doctorate,493,9,2,4,Sr. Java Developer,4,Senior Web Engineer,4,Research Intern,1,Developer Intern,1,NA,NA,NA,NA,207228,0,4920.791167
554,Andrew Spinka,4/11/72,45,Male,Caucasian,MN,USA,Doctorate,443,12,2,5,Senior Applications Engineer,4,Technology Business Analyst,3,Student Worker,1,Business Analytics Intern,1,Research Intern,1,NA,NA,191017,1,4592.738422
555,Pearly Shields,6/23/80,37,Male,Hispanic,KS,USA,Associate,412,17,4,3,Sr. Software Engineer II,4,Senior Network Engineer,4,information technology analyst,3,NA,NA,NA,NA,NA,NA,204725,0,5585.762946
556,Rosaria Rau,6/18/58,59,Female,Native American,SD,USA,Doctorate,422,26,9,5,Senior software engineer,4,Sr. Software Engineer Test,4,Student Worker,1,Student Worker,1,Summer Intern,1,NA,NA,293196,0,3502.936085
557,Owen Balistreri,8/17/70,47,Female,Hispanic,MD,USA,Doctorate,440,14,4,5,Senior Data Scientist,4,Senior Applied Scientist,4,Developer Intern,1,Business Analytics Intern,1,Internal Help Desk,1,NA,NA,431038,1,4397.302745
558,Clara Welch,4/3/88,29,Male,Asian,IL,USA,Graduate,372,5,1,1,Sr Staff Program Mgr,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235739,0,7126.663069
559,Jeffry Wyman,2/12/74,43,Female,Native American,ME,USA,Associate,399,23,1,5,Operations Analyst,3,Second Line Support Analyst,3,Product Analyst,3,information technology analyst,3,Software analyst,3,NA,NA,130142,1,4806.354163
560,Emmie Davis,10/23/64,53,Male,African American,RI,USA,Undergraduate,332,31,7,6,Senior Manager IT,4,Senior DBA (MSSQL),4,Software Engineer / Team Lead,3,Business Analyst,3,Development Team Lead,3,IT Analyst I,3,196665,0,3899.494887
561,Maxine Harber,2/18/71,46,Male,African American,DE,USA,Undergraduate,393,24,1,4,Sr. Software Engineer,4,Senior Mechanical Engineer,4,Devops team lead,3,Developer Analyst,3,NA,NA,NA,NA,201266,0,4492.896283
563,Geoffrey Hudson,12/29/58,58,Female,Native American,UT,USA,Associate,359,38,11,5,Senior Applied Scientist,4,Senior consultant,4,Software Business Operations Analyst,3,Application Analyst,3,System Analyst III,3,NA,NA,205948,1,3563.331534
564,Kirby Donnelly,9/3/83,34,Male,Caucasian,CO,USA,Doctorate,457,1,1,1,Creative Director + Designer/Developer,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308913,1,6078.624382
565,Dakota Orn,5/10/56,61,Male,Hispanic,KY,USA,Graduate,450,37,10,4,Director of Product Engineering,5,Senior Gentoo Installation Specialist,4,Information Systems Intern,1,Research Intern,1,NA,NA,NA,NA,181392,0,3388.085721
566,Karyn Barton,10/6/69,48,Female,African American,MS,USA,Graduate,400,24,1,5,Senior Associate,4,Sr. Engineering Manager,4,Information Systems Intern,1,Business Analytics Intern,1,Summer Intern,1,NA,NA,197480,1,4305.692271
567,Jestine Pagac,12/29/83,33,Female,African American,KY,USA,Associate,403,13,1,5,Sr Full-Stack Develop,4,Senior Performance Engineer II,4,Junior Developer,3,data analyst,3,Second Line Support Analyst,3,NA,NA,197674,0,6262.825121
568,Pedro Volkman,1/10/89,28,Female,African American,MA,USA,Undergraduate,427,6,3,1,General Manager,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239840,1,7381.18675
569,Jayson Nolan,5/5/69,48,Male,Hispanic,AR,USA,Graduate,403,24,1,5,Senior Project Manager,4,Sr. Java Developer,4,Student Intern Co-op,1,Developer Intern,1,Information Systems Intern,1,NA,NA,308579,0,4305.692271
570,Tona Beatty,6/16/53,64,Female,Caucasian,MD,USA,Graduate,356,40,2,6,Senior iOS Developer,4,Senior Front-end/Full-stack developer,4,Internal Help Desk,1,Product Management Intern,1,Student Worker,1,Intern,1,286282,1,3229.269203
571,Taina Barton,1/7/66,51,Male,African American,WI,USA,Associate,437,31,9,4,Sr. Engineering Manager,4,Senior UX Engineer,4,HR Analyst,3,Dev Team leader,3,NA,NA,NA,NA,181794,0,4052.416255
572,Mitsue Dooley,7/16/78,39,Female,Native American,SD,USA,Doctorate,456,6,2,2,Senior Bioinformatician,4,Sr Product Manager,4,NA,NA,NA,NA,NA,NA,NA,NA,199777,0,5299.313564
573,Antwan Ratke,11/23/76,40,Female,Asian,MT,USA,Undergraduate,348,18,5,5,Sr Principal Software Dev Engineer,4,Sr. Frontend Eng,4,Data analyst,3,data analyst,3,Product Analyst,3,NA,NA,292380,0,5166.830725
574,Boyd Parker,11/16/63,53,Male,Hispanic,AK,USA,Graduate,464,29,1,4,sr engagement associate,4,Senior Systems Engineer,4,Developer Intern,1,Business Analytics Intern,1,NA,NA,NA,NA,181334,0,3899.494887
575,Julianne Abshire,5/28/67,50,Female,Asian,DC,USA,Graduate,344,26,10,5,Senior full stack developer,4,Senior Web Engineer,4,R&D Intern,1,Student Worker,1,Developer Intern,1,NA,NA,297038,1,4133.46458
576,Susie Mitchell,4/12/88,29,Male,Asian,ID,USA,Undergraduate,379,7,3,3,System Analyst,3,Research assistant,2,Application Analyst,3,NA,NA,NA,NA,NA,NA,126059,0,7126.663069
577,Katrice Abbott,11/1/54,63,Female,Hispanic,OR,USA,Doctorate,422,30,8,4,Senior IT Engineer,4,Senior Sales Consultant,4,Summer Intern,1,Summer Intern,1,NA,NA,NA,NA,205986,0,3280.527444
578,Ira Yundt,11/13/86,30,Female,Hispanic,AZ,USA,Undergraduate,477,8,2,2,Junior Developer,3,Software Business Operations Analyst,3,NA,NA,NA,NA,NA,NA,NA,NA,196201,1,6889.107633
579,Carmina O'Connell,1/28/70,47,Female,Asian,AR,USA,Associate,315,27,6,6,Senior Bioinformatician,4,Senior PM,4,Business systems analyst,3,Application Analyst,3,Programmer Analyst III,3,HR Analyst,3,203284,1,4397.302745
580,Edgar Hyatt,3/20/78,39,Male,Hispanic,GA,USA,Associate,458,19,1,3,"Bioinformatics Scientist, Sr",4,IT Analyst I,3,Security Analyst,3,NA,NA,NA,NA,NA,NA,183983,0,5299.313564
581,Brook Labadie,12/3/83,33,Female,Caucasian,DC,USA,Graduate,317,9,3,4,Senior IT Engineer,4,Senior Consulting Associate,4,Intern,1,Product Management Intern,1,NA,NA,NA,NA,186723,1,6262.825121
582,Voncile Franecki,2/2/69,48,Male,Hispanic,AR,USA,Doctorate,358,15,5,5,Senior PM,4,SR. Software Consultant,4,Intern,1,Business Analytics Intern,1,R&D Intern,1,NA,NA,205389,1,4305.692271
583,Hank Stanton,9/13/58,59,Female,Asian,NY,USA,Doctorate,357,26,2,4,Sr Consultant (software  engineer),4,"Bioinformatics Scientist, Sr",4,Internal Help Desk,1,Web Development Intern,1,NA,NA,NA,NA,382812,1,3502.936085
584,Gale Treutel,2/4/77,40,Female,Native American,SD,USA,Graduate,400,16,2,4,Director of Mobile,5,Senior DevOps Engineer,4,Research Intern,1,Business Analytics Intern,1,NA,NA,NA,NA,180231,0,5166.830725
585,Danyelle Hintz,10/18/83,34,Female,African American,MT,USA,Doctorate,364,1,1,1,Sr. Director of Program Management,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194661,0,6078.624382
586,Gene Auer,10/15/91,26,Female,Native American,OH,USA,Undergraduate,381,4,1,1,Senior User Experience Consultant,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187698,0,7948.970346
587,Elias Bayer,3/27/59,58,Female,African American,IA,USA,Associate,325,38,6,5,Senior Interactive Developer,4,Senior developer,4,Software analyst,3,IT Analyst I,3,Web analyst,3,NA,NA,187338,0,3563.331534
588,Fairy Littel,11/11/80,36,Male,African American,NY,USA,Doctorate,468,3,1,3,Senior Designer,4,Senior Sales Consultant,4,Web Development Intern,1,NA,NA,NA,NA,NA,NA,228491,1,5740.923028
589,Neil Hauck,6/10/56,61,Female,African American,DC,USA,Associate,310,41,7,4,Web analyst,3,IT Analyst I,3,Product Analyst,3,Software Engineer / Team Lead,3,NA,NA,NA,NA,183151,1,3388.085721
590,Carlie Kuhn,9/7/92,25,Female,Hispanic,NC,USA,Associate,376,5,3,2,Application Development Analyst,3,Data analyst,3,NA,NA,NA,NA,NA,NA,NA,NA,113686,0,8266.92916
591,Maryanna Stokes,8/20/59,58,Female,African American,HI,USA,Associate,451,38,9,6,Sr Staff Program Mgr,4,Senior Gentoo Installation Specialist,4,Data Analyst,3,Data Analyst,3,Developer Analyst,3,Online Marketing Analyst,3,199726,1,3563.331534
592,Duncan Maggio,1/14/77,40,Female,Native American,MA,USA,Undergraduate,336,18,5,3,Senior Team Lead,4,Sr MySQL DBA,4,Database Analyst,3,NA,NA,NA,NA,NA,NA,249730,1,5166.830725
593,Yessenia Roberts,8/10/75,42,Male,African American,UT,USA,Undergraduate,353,20,1,4,Sr Quality Engineer,4,Senior IT Analyst,4,Operations Analyst,3,Data analyst,3,NA,NA,NA,NA,207202,1,4920.791167
594,Torie Kerluke,1/31/70,47,Female,Native American,TX,USA,Associate,347,27,2,6,Senior Javascript Engineer,4,Senior Sales Consultant,4,IT Analyst I,3,Product Analyst,3,Programmer/Analyst,3,Application Analyst,3,195696,1,4397.302745
595,Tyrell Smith,11/10/69,47,Male,African American,DE,USA,Graduate,370,23,1,4,Strategy Director,5,"Director, Product Management",5,Software Engineering Intern,1,Research Intern,1,NA,NA,NA,NA,197278,0,4397.302745
596,in Connelly,7/13/65,52,Male,Caucasian,OR,USA,Doctorate,392,19,1,4,Sr. Java Developer,4,Senior Application Developer,4,Student Intern Co-op,1,R&D Intern,1,NA,NA,NA,NA,187182,1,3974.485173
597,Veronique Lockman,9/29/89,28,Male,Caucasian,DC,USA,Associate,328,8,3,3,Software analyst,3,Development Team Lead,3,HR Analyst,3,NA,NA,NA,NA,NA,NA,127302,0,7381.18675
598,Kourtney Jenkins,5/12/77,40,Female,Asian,NE,USA,Doctorate,369,7,1,1,Senior Grails Developer,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192491,1,5166.830725
599,Lina Parker,12/11/90,26,Female,African American,RI,USA,Associate,345,6,3,2,Group supervisor,2,Sales Assistant,2,NA,NA,NA,NA,NA,NA,NA,NA,123981,1,7948.970346
600,Roman Kub,4/28/84,33,Male,Hispanic,MA,USA,Undergraduate,413,11,3,5,Senior software Engineer,4,Sr. Software Engineer - Automation,4,data analyst,3,Analyst programmer iii,3,Product Analyst,3,NA,NA,222944,0,6262.825121
601,Timmy Lowe,7/15/58,59,Female,Asian,TX,USA,Associate,472,39,6,4,Senior Gentoo Installation Specialist,4,Sr. Staff Engineer,4,Application Analyst,3,Online Marketing Analyst,3,NA,NA,NA,NA,196177,1,3502.936085
602,Yen Rippin,10/19/79,38,Male,African American,NV,USA,Doctorate,474,5,2,2,senior software engineer,4,Senior Systems Analyst,4,NA,NA,NA,NA,NA,NA,NA,NA,269806,0,5438.769184
603,Loreta Swaniawski,11/9/68,48,Male,Caucasian,TX,USA,Undergraduate,491,26,8,6,Senior Sales Consultant,4,Senior User Experience Consultant,4,HR Analyst,3,Advisory Engineer,3,UI team lead,3,information technology analyst,3,197089,0,4305.692271
604,Grayce Romaguera,10/10/80,37,Male,Hispanic,AZ,USA,Graduate,458,13,5,3,Senior Software Egnineer,4,Senior UX Designer,4,Internal Help Desk,1,NA,NA,NA,NA,NA,NA,195937,0,5585.762946
605,Micheline Willms,10/15/86,31,Male,Hispanic,WI,USA,Graduate,387,7,3,2,Team Lead,3,Team Lead,3,NA,NA,NA,NA,NA,NA,NA,NA,198746,0,6666.878355
606,Clemmie Little,7/12/58,59,Female,Asian,MI,USA,Undergraduate,466,37,2,6,Senior Product Manager,4,Analyst,3,Technology Business Analyst,3,Developer Analyst,3,Devops team lead,3,Web analyst,3,196508,0,3502.936085
607,Meggan Ullrich,4/16/91,26,Female,African American,AL,USA,Associate,446,6,2,1,Customer Support Technician,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25687,0,7948.970346
608,Courtney Dare,7/2/71,46,Male,Caucasian,SC,USA,Undergraduate,432,24,1,5,Senior Software QA Engineer,4,Senior full stack developer,4,HR Analyst,3,Business Analyst,3,Software Business Operations Analyst,3,NA,NA,191653,1,4492.896283
609,Crissy Denesik,12/13/80,36,Female,African American,NH,USA,Undergraduate,355,14,3,5,Sr. Java Developer,4,Sr. Software Engineer - Automation,4,Programmer Analyst III,3,Software analyst,3,IT Analyst I,3,NA,NA,181498,0,5740.923028
610,Cletus Lang,9/4/67,50,Female,Caucasian,MA,USA,Doctorate,480,17,2,3,Senior Analyst,4,Senior Telecommunications Specialist,4,Research Intern,1,NA,NA,NA,NA,NA,NA,215669,0,4133.46458
611,Elmer Lockman,4/25/66,51,Male,Caucasian,AZ,USA,Undergraduate,453,29,6,5,Senior Business Intelligence Developer,4,Senior Software Engineer,4,Devops team lead,3,Team Lead,3,Application Analyst,3,NA,NA,200958,1,4052.416255
612,Dominique Dare,11/12/74,42,Female,Asian,WI,USA,Undergraduate,439,20,1,5,Sr. NET Developer,4,Senior Application Developer,4,Programmer Analyst,3,Development Team Lead,3,Programmer Analyst,3,NA,NA,203284,0,4920.791167
613,Malcolm Hickle,3/4/80,37,Male,Hispanic,KY,USA,Doctorate,362,4,1,1,Development Team Lead,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302500,1,5585.762946
